level,cityCode,cityName
6,MY5132,阿坝藏族羌族自治州
6,MY6529,阿克苏地区
6,MY1529,阿拉善盟
6,MY6543,阿勒泰地区
6,MY5425,阿里地区
6,MY6109,安康
3,MY3408,安庆
6,MY2103,鞍山
6,MY5204,安顺
6,MY4105,安阳
6,MY2208,白城
6,MY4510,百色
6,MY2206,白山
6,MY6204,白银
6,MY1306,保定
6,MY6103,宝鸡
6,MY5305,保山
3,MY1502,包头
6,MY1508,巴彦淖尔
6,MY6528,巴音郭楞蒙古自治州
6,MY5119,巴中
6,MY4505,北海
1,MY1002,北京
3,MY3403,蚌埠
6,MY2105,本溪
6,MY5205,毕节
4,MY3716,滨州
6,MY6527,博尔塔拉蒙古自治州
6,MY3416,亳州
3,MY1309,沧州
2,MY2201,长春
3,MY4307,常德
6,MY5403,昌都
6,MY6523,昌吉回族自治州
2,MY4301,长沙
6,MY1404,长治
6,MY3204,常州
6,MY4451,潮州
6,MY1308,承德
2,MY5101,成都
6,MY4310,郴州
6,MY1504,赤峰
6,MY3417,池州
2,MY5001,重庆
6,MY4514,崇左
6,MY5323,
3,MY3411,滁州
2,MY2102,大连
6,MY5329,大理白族自治州
6,MY2106,丹东
6,MY4604,儋州
6,MY2306,大庆
6,MY1402,大同
6,MY2327,大兴安岭地区
6,MY5117,达州
6,MY5331,德宏傣族景颇族自治州
4,MY5106,德阳
3,MY3714,德州
6,MY6211,定西
6,MY5334,迪庆藏族自治州
1,MY4419,东莞
3,MY3705,东营
6,MY1506,鄂尔多斯
6,MY4228,恩施土家族苗族自治州
6,MY4207,鄂州
6,MY4506,防城港
2,MY4406,佛山
6,MY2104,抚顺
6,MY2109,阜新
3,MY3412,阜阳
6,MY3610,抚州
2,MY3501,福州
6,MY6230,甘南藏族自治州
3,MY3607,赣州
6,MY5133,甘孜藏族自治州
6,MY5116,广安
6,MY5108,广元
1,MY1004,广州
6,MY4508,贵港
3,MY4503,桂林
6,MY5201,贵阳
6,MY6326,果洛藏族自治州
6,MY6404,固原
2,MY2301,哈尔滨
5,MY6322,海北藏族自治州
6,MY6302,海东
3,MY4601,海口
6,MY6325,海南藏族自治州
6,MY6328,海西蒙古族藏族自治州
6,MY632800,海西州
6,MY6505,哈密
3,MY1304,邯郸
2,MY3301,杭州
6,MY6107,汉中
6,MY4106,鹤壁
5,MY4512,河池
1,MY3401,合肥
6,MY2304,鹤岗
6,MY2311,黑河
6,MY1311,衡水
3,MY4304,衡阳
6,MY6532,和田地区
6,MY4416,河源
3,MY3717,菏泽
6,MY4511,贺州
6,MY5325,红河哈尼族彝族自治州
3,MY3208,淮安
6,MY3406,淮北
6,MY4312,怀化
6,MY3404,淮南
6,MY4211,黄冈
6,MY6323,黄南藏族自治州
6,MY3410,黄山
4,MY4202,黄石
3,MY1501,呼和浩特
6,MY4413,惠州
6,MY2114,葫芦岛
6,MY1507,呼伦贝尔
3,MY3305,湖州
6,MY2308,佳木斯
3,MY4407,江门
6,MY3608,吉安
6,MY4108,焦作
4,MY3304,嘉兴
6,MY6202,嘉峪关
3,MY4452,揭阳
6,MY2202,吉林
2,MY3701,济南
6,MY6203,金昌
6,MY1405,晋城
6,MY3602,景德镇
6,MY4208,荆门
3,MY4210,荆州
6,MY3307,金华
3,MY3708,济宁
6,MY1407,晋中
6,MY2107,锦州
3,MY3604,九江
6,MY6209,酒泉
6,MY2303,鸡西
6,MY4102,开封
6,MY6531,喀什地区
6,MY6502,克拉玛依
6,MY6530,克孜勒苏柯尔克孜自治州
6,MY5301,昆明
6,MY4513,来宾
6,MY3712,莱芜
3,MY1310,廊坊
4,MY6201,兰州
6,MY5401,拉萨
6,MY5111,乐山
6,MY5134,凉山彝族自治州
3,MY3207,连云港
3,MY3715,聊城
5,MY2110,辽阳
6,MY2204,辽源
6,MY5307,丽江
6,MY5309,临沧
6,MY1410,临汾
6,MY6229,临夏回族自治州
3,MY3713,临沂
6,MY5404,林芝
6,MY3311,丽水
6,MY5202,六盘水
3,MY4502,柳州
6,MY6212,陇南
4,MY3508,龙岩
6,MY4313,娄底
6,MY1411,吕梁
3,MY3415,六安
3,MY4103,洛阳
6,MY5105,泸州
3,MY3405,马鞍山
4,MY4409,茂名
6,MYafe632bd-abbe-4f9e-a086-4ad555e28fa7,马祖列岛
6,MY5114,眉山
6,MY4414,梅州
3,MY5107,绵阳
6,MY2310,牡丹江
6,MY3601,南昌
6,MY5113,南充
2,MY3201,南京
6,MY4501,南宁
6,MY3507,南平
4,MY3206,南通
3,MY4113,南阳
6,MY5110,内江
6,MY5424,那曲地区
1,MY3302,宁波
3,MY3509,宁德
6,MY5333,怒江傈僳族自治州
6,MY2111,盘锦
6,MY5104,攀枝花
6,MY41c18c4d-72ed-47e2-bdfa-a91f407a0743,澎湖列岛
6,MY4104,平顶山
6,MYb382f1f1-3ad2-4546-a07a-e07f626f2eda,屏东
6,MY6208,平凉
6,MY3603,萍乡
6,MY5308,普洱
3,MY3503,莆田
6,MY4109,濮阳
6,MY5226,黔东南苗族侗族自治州
6,MY5227,黔南布依族苗族自治州
6,MY5223,黔西南布依族苗族自治州
2,MY3702,青岛
6,MY6210,庆阳
4,MY4418,清远
6,MY1303,秦皇岛
6,MY4507,钦州
6,MY2302,齐齐哈尔
6,MY2309,七台河
4,MY3505,泉州
6,MY5303,曲靖
4,MY3308,衢州
6,MY5402,日喀则
4,MY3711,日照
6,MY4112,三门峡
6,MY3504,三明
6,MY4603,三沙
3,MY4602,三亚
1,MY1003,上海
6,MY6110,商洛
3,MY4114,商丘
3,MY3611,上饶
6,MY5405,山南
3,MY4405,汕头
6,MY4415,汕尾
6,MY4402,韶关
4,MY3306,绍兴
6,MY4305,邵阳
6,MY4290,省直辖县级行政区划
6,MY4690,省直辖县级行政区划
6,MY4190,省直辖县级行政区划
2,MY2101,沈阳
1,MY1001,深圳
2,MY1301,石家庄
6,MY4203,十堰
6,MY6402,石嘴山
6,MY2305,双鸭山
6,MY1406,朔州
6,MY2203,四平
6,MY2207,松原
6,MY2312,绥化
6,MY5109,遂宁
6,MY4213,随州
3,MY3213,宿迁
2,MY3205,苏州
6,MY3413,宿州
6,MY6542,塔城地区
6,MY4111,漯河
3,MY3709,泰安
6,MY1401,太原
4,MY3310,台州
3,MY3212,泰州
3,MY1302,唐山
1,MY1201,天津
5,MY6205,天水
6,MY2112,铁岭
6,MY6102,铜川
6,MY2205,通化
6,MY1505,通辽
6,MY3407,铜陵
6,MY5206,铜仁
6,MY6504,吐鲁番
6,MY3707,潍坊
3,MY3710,威海
6,MY6105,渭南
6,MY5326,文山壮族苗族自治州
6,MY3303,温州
6,MY1503,乌海
2,MY4201,武汉
3,MY3402,芜湖
6,MY1509,乌兰察布
3,MY6501,乌鲁木齐
6,MY6206,武威
1,MY3202,无锡
6,MY6403,吴忠
6,MY4504,梧州
2,MY3502,厦门
6,MY7000,香港特别行政区
6,MY4303,湘潭
6,MY4331,湘西土家族苗族自治州
3,MY4206,襄阳
6,MY4212,咸宁
2,MY6101,西安
3,MY6104,咸阳
6,MY4209,孝感
6,MY1525,锡林郭勒盟
6,MY1522,兴安盟
3,MY1305,邢台
6,MY6301,西宁
3,MY4107,新乡
3,MY4115,信阳
6,MY3605,新余
6,MY1409,忻州
6,MY5328,西双版纳傣族自治州
6,MY3418,宣城
6,MY4110,许昌
4,MY3203,徐州
6,MY5118,雅安
5,MY6106,延安
6,MY2224,延边
3,MY3209,盐城
6,MY4417,阳江
6,MY1403,阳泉
3,MY3210,扬州
6,MY3706,烟台
4,MY5115,宜宾
3,MY4205,宜昌
3,MY3609,宜春
6,MY2307,伊春
6,MY6540,伊犁哈萨克自治州
3,MY6401,银川
6,MY2108,营口
6,MY3606,鹰潭
6,MY4309,益阳
6,MY4311,永州
3,MY4306,岳阳
4,MY6108,榆林
6,MY4509,玉林
6,MY1408,运城
6,MY4453,云浮
6,MY6327,玉树藏族自治州
6,MY5304,玉溪
3,MY3704,枣庄
6,MY4308,张家界
6,MY1307,张家口
6,MY6207,张掖
3,MY3506,漳州
3,MY4408,湛江
3,MY4412,肇庆
6,MY5306,昭通
6,MY2113,朝阳
2,MY4101,郑州
3,MY3211,镇江
6,MY4420,中山
6,MY6405,中卫
3,MY4116,周口
4,MY3309,舟山
6,MY4404,珠海
4,MY4117,驻马店
3,MY4302,株洲
3,MY3703,淄博
6,MY5103,自贡
6,MY5120,资阳
6,MY6590,自治区直辖县级行政区划
3,MY5203,遵义
